job_id,job,job_skills,description
M1,Data Scientist,C3;C59;C4;C16;C22;C23;C24;C25;C26;C27;C30;C35;C37;C44;C47;C48;C56;C63;C64;C65;C66,"A Data Scientist applies statistical modeling, machine learning, and deep learning methods to analyze large-scale and big data. They perform feature engineering, data mining, and empirical data analysis to build predictive models and support data-driven decision-making following the data science process."
M2,Data Analyst ,C3;C59;C4;C13;C14;C15;C16;C20;C22;C27;C29;C35;C36;C38;C40;C44;C45;C47;C48;C56;C57;C58;C60;C61;C62;C63;C66,"A Data Analyst performs online data analysis, quantitative data analysis, and survey data analysis to identify trends and patterns. They use data visualization, spreadsheets, and specific data analysis software to prepare statistical reports and support business and operational decisions."
M3,Data Engineer,C1;C59;C9;C18;C19;C28;C31;C32;C39;C42;C43;C50;C51;C55,"A Data Engineer designs and maintains data pipelines, defines database physical storage structures, and implements automated data migration and transfer methods. They work with SQL, NoSQL databases, DBMS, and ETL tools (SSIS) to ensure reliable and scalable data systems."
M4,ML Engineer,C23;C59;C24;C26;C27;C46;C64;C65,"A Machine Learning Engineer develops and deploys machine learning models using supervised, unsupervised, and semi-supervised learning. They apply feature extraction, feature selection, and deep learning methods to build intelligent systems that scale on big data."
M5,AI Specialist ,C21;C59;C23;C24;C26;C46;C64;C65;C67,"An AI Specialist designs intelligent systems using machine learning, deep neural networks, and logic programming. They focus on data-driven models, feature engineering, and advanced AI techniques to create adaptive and autonomous solutions."
M6,Cloud Engineer ,C2;C6;C7;C8;C10;C12;C54,"A Cloud Engineer manages systems and networks, supports ICT change request processes, and applies Agile management principles. They ensure system reliability, scalability, and performance using network diagnostics tools, while promoting sustainable computing."
M7,Statistical Analyst,C4;C16;C22;C30;C35;C37;C38;C44;C52;C56;C62;C66,"A Statistical Analyst applies probability estimation, statistical modeling, and numerical analysis techniques to interpret data. They work with survey data, experimental data, and large datasets to produce accurate and reliable statistical insights."
M8,Business Data Analyst ,C5;C;59;C14;C15;C20;C35;C36;C38;C40;C44;C47;C48;C57;C60;C61,"A Business Data Analyst combines business analytics, quantitative data analysis, and data visualization to support strategic decisions. They translate business needs into data solutions and prepare reports and presentations for stakeholders."
M9,BI developer,C14;C15;C31;C32;C36;C39;C44;C47;C55;C57;C58;C60,"A BI Developer builds dashboards, reports, and data models using BI tools, SQL databases, and ETL processes. They focus on data presentation, visualisation, and business data analytics to deliver actionable insights."
M10,NLP engineer,C17;C21;C23;C24;C46;C64;C67,"An NLP Engineer develops systems that understand and generate human language using machine learning, deep learning, and natural language processing (NLP) techniques. They work on text-based models, language understanding, and intelligent conversational systems."
M11,Big Data engineer ,C18;C19;C27;C28;C31;C39;C42;C43;C50;C51;C55,"A Big Data Engineer designs large-scale data architectures to handle big data analysis, data scraping, and high-volume data processing. They use data engineering methods, NoSQL systems, and distributed databases to ensure performance and scalability."
M12,Software engineer,C11;C17;C21;C33;C34;C41;C49;C53;C59,"A Software Engineer designs and develops applications using object-oriented programming, Python, C++ frameworks, and multiple programming languages. They gather user requirements, apply research methods, and build reliable, scalable software systems."
M13,Statistician ,C4;C16;C22;C30;C35;C37;C38;C44;C52;C62;C66,"A Statistician applies statistical analysis, biostatistical methods, and probability estimation to interpret data. They design studies, analyze survey and experimental data, and support decisions through rigorous quantitative reasoning."
